Month,HEADLINE_CPI_USA,IR3TIB_USA,IRLT_USA,IRSTCI_USA,CORE_CPI_USA,DGS2_USA,DIV_YIELD_USA,CREDIT_SPREAD_BAA_USA,CREDIT_SPREAD_AAA_USA,HY_SPREAD_USA,SPREAD_10Y3M_USA,SPREAD_10Y2Y_USA,SPREAD_BAA_AAA_USA
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.66,1.77,,0.88,0.8275,0.8900000000000001
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.65,1.72,,0.88,0.8275,0.93
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.65,1.74,,0.88,0.8275,0.91
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.67,1.77,,0.88,0.8275,0.8999999999999999
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.68,1.78,,0.88,0.8275,0.9000000000000001
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.71,1.79,,0.88,0.8275,0.92
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.73,1.81,,0.8300000000000001,0.822608695652174,0.92
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.75,1.82,,0.8300000000000001,0.822608695652174,0.93
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.76,1.91,,0.8300000000000001,0.822608695652174,0.8499999999999999
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.76,1.91,,0.8300000000000001,0.822608695652174,0.8499999999999999
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.73,1.83,,0.8300000000000001,0.822608695652174,0.8999999999999999
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.71,1.82,,0.8300000000000001,0.822608695652174,0.8899999999999999
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.7,1.82,,0.8300000000000001,0.822608695652174,0.8800000000000001
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.71,1.8,,0.8300000000000001,0.822608695652174,0.91
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.7,1.76,,0.8300000000000001,0.822608695652174,0.9400000000000002
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.71,1.77,,0.8300000000000001,0.822608695652174,0.94
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.7,1.78,,0.8300000000000001,0.822608695652174,0.9200000000000002
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.7,1.77,,0.8300000000000001,0.822608695652174,0.9300000000000002
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.69,1.75,,0.8300000000000001,0.822608695652174,0.94
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.7,1.75,,0.8300000000000001,0.822608695652174,0.9500000000000002
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.67,1.72,,0.8300000000000001,0.822608695652174,0.95
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.65,1.7,,0.8300000000000001,0.822608695652174,0.95
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.64,1.7,,0.8300000000000001,0.822608695652174,0.9400000000000002
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.64,1.69,,0.8300000000000001,0.822608695652174,0.9500000000000002
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.63,1.69,,0.8300000000000001,0.822608695652174,0.94
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.63,1.68,,0.8300000000000001,0.822608695652174,0.95
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.59,1.65,,0.8300000000000001,0.822608695652174,0.94
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.62,1.67,,0.8300000000000001,0.822608695652174,0.9500000000000002
2016-08,0.3,0.73,1.56,0.4,248.423,0.7373913043478261,146.30700000000002,2.61,1.66,,0.8300000000000001,0.822608695652174,0.95
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.62,1.67,,0.8799999999999999,0.8590476190476188,0.9500000000000002
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.63,1.68,,0.8799999999999999,0.8590476190476188,0.95
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,,,,0.8799999999999999,0.8590476190476188,
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.64,1.7,,0.8799999999999999,0.8590476190476188,0.9400000000000002
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.65,1.74,,0.8799999999999999,0.8590476190476188,0.91
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.67,1.75,,0.8799999999999999,0.8590476190476188,0.92
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.67,1.76,,0.8799999999999999,0.8590476190476188,0.91
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.68,1.75,,0.8799999999999999,0.8590476190476188,0.9300000000000002
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.7,1.78,,0.8799999999999999,0.8590476190476188,0.9200000000000002
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.7,1.8,,0.8799999999999999,0.8590476190476188,0.9000000000000001
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.72,1.81,,0.8799999999999999,0.8590476190476188,0.91
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.71,1.81,,0.8799999999999999,0.8590476190476188,0.8999999999999999
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.7,1.8,,0.8799999999999999,0.8590476190476188,0.9000000000000001
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.7,1.81,,0.8799999999999999,0.8590476190476188,0.8900000000000001
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.7,1.81,,0.8799999999999999,0.8590476190476188,0.8900000000000001
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.69,1.81,,0.8799999999999999,0.8590476190476188,0.8799999999999999
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.68,1.82,,0.8799999999999999,0.8590476190476188,0.8600000000000001
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.7,1.84,,0.8799999999999999,0.8590476190476188,0.8600000000000001
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.69,1.83,,0.8799999999999999,0.8590476190476188,0.8599999999999999
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.69,1.82,,0.8799999999999999,0.8590476190476188,0.8699999999999999
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.67,1.81,,0.8799999999999999,0.8590476190476188,0.8599999999999999
2016-09,0.8,0.75,1.63,0.4,248.842,0.7709523809523811,146.30700000000002,2.69,1.84,,0.8799999999999999,0.8590476190476188,0.8499999999999999
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.66,1.8,,1.04,0.917,0.8600000000000001
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.66,1.8,,1.04,0.917,0.8600000000000001
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.64,1.79,,1.04,0.917,0.8500000000000001
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.61,1.78,,1.04,0.917,0.8299999999999998
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.63,1.77,,1.04,0.917,0.8599999999999999
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,,,,1.04,0.917,
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.6,1.75,,1.04,0.917,0.8500000000000001
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.6,1.72,,1.04,0.917,0.8800000000000001
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.59,1.73,,1.04,0.917,0.8599999999999999
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.63,1.76,,1.04,0.917,0.8699999999999999
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.62,1.75,,1.04,0.917,0.8700000000000001
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.62,1.73,,1.04,0.917,0.8900000000000001
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.62,1.71,,1.04,0.917,0.91
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.59,1.7,,1.04,0.917,0.8899999999999999
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.6,1.71,,1.04,0.917,0.8900000000000001
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.59,1.71,,1.04,0.917,0.8799999999999999
